Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss,Score
Montenegro,2014,53.1228512491405,66.13371274760956,80.30475523367224,49.50661269773262,11.19485748652599,62.66089172361367,75.953408589053,18.759841555784057,53.21903922340726,53.875,84.68364378942277,66.78403413420972,78.94037061169149,49.606646865216334,57.63764919320332,44.613203726204944,92.73533327429944,100.0,52.50743864469881,83.28431780621513,2.767527675276753,44.78677376876795,57.19671865513752
Montenegro,2015,54.08861708999229,65.67923850374036,80.5717094294764,43.23148388260629,11.158983966195583,62.22877645721907,74.63598316245142,18.12302363519688,47.41736324867117,50.125,64.2257854326345,62.17087411726398,78.29040396549347,55.10154932969414,56.74670914749577,52.51113811259617,94.27603554972347,100.0,52.07455098211967,83.28431780621513,2.767527675276753,61.733046671775,55.639720453132384
Montenegro,2016,58.62261163086284,65.66452054151901,78.21639168161977,53.40737149493196,9.902221669034162,64.53992221393644,75.55784111172693,60.454083907397234,56.85038745034798,51.25,77.49669167780637,62.186746151323504,66.25066546214218,81.9137834149474,55.79863911563845,72.90400972053462,91.4885272389764,100.0,53.61844709602183,83.28431780621513,2.767527675276753,46.83618207280605,61.03896194787239
Montenegro,2017,57.563082116141935,63.51412921820195,77.8395422447704,38.17460227977405,8.551806073090852,64.53992221393644,74.14328028933735,60.454083907397234,42.72858212704445,43.625,66.92282372856309,59.29955313221754,70.63694865454286,34.458537368547795,53.46768015213784,52.26812474686105,85.36312254956933,100.0,47.24665306670142,83.28431780621513,5.719557195571956,45.81017787941578,54.30811964261863
Montenegro,2018,55.44688808784615,65.96331819921893,74.91343055306344,54.012830775822216,10.806644499951638,65.10619499522988,73.13969770607551,60.454083907397234,57.40500703458174,47.125,75.78644024531965,66.64223618286917,71.08948038962738,54.30280163763345,50.69807479128493,61.05710814094775,94.86054041251305,94.16559561382223,62.10576698428006,83.28431780621513,5.719557195571956,43.64873471461743,59.531023842869146
Montenegro,2019,65.0261496468235,66.12528484861025,78.88678226052012,50.60478279007362,10.316608050732547,65.33449978308128,72.09773689957953,60.454083907397234,54.24482433390816,44.75,69.50700961260723,64.94964713900751,65.62846784440848,90.50333146022317,48.34342380677952,54.738760631834765,94.39827068386488,79.83927769459154,52.50281244683489,83.28431780621513,10.70110701107011,51.32141925819945,59.58217575791611
Montenegro,2020,65.91377909278438,66.12528484861025,79.00345038366537,46.12754106862999,12.00968566984195,61.37551671772188,74.1363615155841,60.454083907397234,50.11567630688116,45.875,75.49759181013926,64.56871832157907,97.94539948873673,59.203660592437984,51.78605359816011,62.43418388011341,90.84584724297126,45.089337001216734,81.68071302819443,83.28431780621513,14.575645756457565,47.8994448021754,60.235133522373935
Netherlands,2012,75.3297355864397,32.5265068370786,51.96229269472416,70.16968644650649,9.447792514725556,62.01410184857819,42.23400352554063,1.071457104346905,8.186226842543398,2.5,91.50382556241478,64.9694871815819,69.53905128728621,90.80838083005538,28.65538535514984,38.07209396516808,68.99696859275285,100.0,0.0,14.348198116439058,35.239852398523986,48.20894240456891,44.58837342796191
Netherlands,2013,78.14837580480487,33.79981182603419,52.82264496575571,69.44820899056295,11.649141297176907,62.87834830122202,42.98093200172559,0.0,8.00010027020732,2.625,89.84462641149483,61.30853250207444,69.7596679779749,70.51858392871478,30.542801564928816,43.33738355609557,68.71843363897045,100.0,0.1590347763832653,14.291426536073836,35.239852398523986,53.20423346198166,43.78363504778062
Netherlands,2014,79.8978496864126,31.57056748881342,55.51690602503872,64.63452583631177,9.248632241181554,65.67891015340638,44.90818583334533,0.3428276158887513,7.329125466230352,3.375,90.799169728684,75.67260661980526,73.0864396915023,66.25190655856144,29.994777481353545,49.85824220332117,78.50645792803593,100.0,2.7033105342764685,14.22141735163307,31.180811808118083,48.85130570544828,44.395235330020014
Netherlands,2015,78.54140187110622,30.991755659618597,53.36190882941664,56.79546300158975,5.490504020114905,65.56384468745125,44.3081671293337,1.1561814634699488,8.534248020446768,3.625,90.51300825569132,69.6028373595004,76.20767831404969,81.68499638757325,30.057912002989887,58.930741190765474,86.05907362094828,100.0,5.384450251876785,14.16014225647926,30.99630996309963,48.676073239172304,44.891678231791566
Netherlands,2016,81.60330673223179,31.604635674549662,53.33926798017896,61.28443056385509,5.998054432760632,65.67891015340638,43.92613326644977,60.454083907397234,8.962485364205417,3.375,88.7637958714826,68.04842837686277,77.3288925590622,82.17468090230392,30.782160185683004,61.25961927906036,91.52029482437584,100.0,6.4313241259863645,14.197808016529263,30.99630996309963,44.96701503269009,48.743156163052376
Netherlands,2017,79.62593503219219,33.63317220628461,54.8860496349163,67.16189552726821,4.986212477690884,66.49181786585588,43.83632556048212,60.454083907397234,11.100851983417815,4.375,91.931052550263,70.51104448487663,77.6389443308519,96.75684354178372,32.04363552541874,61.6848926690968,90.7441333656714,100.0,6.729667016496435,14.235883187014592,37.08487084870849,45.40582951213442,50.92239461223884
Netherlands,2018,81.31055570604047,33.89010755975436,57.278261182778536,70.04712886022573,3.7652625953851953,68.15810632298239,44.648585419588585,60.454083907397234,12.821843864664466,5.625,79.46287625867384,71.71136706062767,75.60159185302784,22.228465922774333,29.471500084824505,49.25070878898339,86.7941343431166,100.0,6.247381692678076,14.273548947064596,37.08487084870849,45.79593992081433,46.14688617991556
Netherlands,2019,83.15144916967058,34.88015678459961,59.19038381385105,81.38105600216477,2.9988818957129766,69.7563713368418,45.54024911780351,60.454083907397234,15.170046782318604,7.125,84.72126126005092,71.55533096108667,74.63624147167178,62.59934173557036,29.4573882580886,58.14094775212635,91.30232059336146,100.0,5.404518510293073,14.311624117549924,44.64944649446496,40.31723610015838,50.368781377538106
Netherlands,2020,84.38834830079387,36.06572747830894,64.32265268422704,90.76082667177792,2.6155124094764446,69.50715736531039,46.70668756164861,60.454083907397234,23.29746932619465,9.75,84.80993101224583,74.41614839418196,74.93638986991539,50.77867865457172,29.181723802706152,61.34062373430538,96.68063360992488,100.0,5.663257015789014,14.349426347745036,44.64944649446496,42.41086185723275,51.80304419874201
North Macedonia,2012,19.39657866772238,60.73263209060782,81.79984460144385,12.998996538621997,7.187013687570911,54.653396932871175,75.61143112602349,8.051004708483774,12.9656689432878,19.25,31.673238528350826,67.10310870125915,77.20502420993934,47.02978245163361,75.41321312166166,37.20129607128391,76.96428937584372,100.0,46.01322526774866,52.07891795551346,15.867158671586717,38.92639818710954,43.6795831465957
North Macedonia,2013,27.53708874210821,61.455258413152194,84.08914319822577,25.53121441376433,7.462634153651052,58.89922475972355,77.82310446192628,9.52140723616899,22.862129509417567,22.875,55.27215568258916,72.72157534606286,82.29718652775534,51.938669021433725,78.50682967895058,47.34710409072497,76.10379404088565,100.0,51.061399361683854,52.44643205629121,15.867158671586717,46.62205263751137,49.1463867339058
North Macedonia,2014,24.7747067280645,62.13622818987987,85.15686506568417,21.59640557879426,6.601923403266461,61.4813866188623,78.61697569970002,10.6290735343008,20.66307852515059,22.875,64.58449488469574,74.30189309017999,75.54780891669283,33.58754114152684,78.98541778881969,42.831105710814086,74.40881169341111,100.0,44.58780702460297,52.814082627214056,15.867158671586717,42.876667492445854,47.350610682895706
North Macedonia,2015,29.736367803638032,63.89002124294694,86.19782956586171,34.20010598356127,6.475397925323314,63.53641152070908,78.98822358424613,10.920422243011366,33.08593052319115,26.25,44.758072642022746,69.56934269938951,68.79858366522332,95.456369912499,77.52847384226008,62.33292831105712,80.42632561301932,100.0,39.567409285322746,53.18173319813691,15.867158671586717,49.74919909517871,51.71950409993055
North Macedonia,2016,34.40527785302024,65.41684127548785,86.90947262258217,42.05337512543267,5.437539871025287,64.20319106251696,78.54420368999129,60.454083907397234,33.90417719416804,23.125,56.38522976885408,71.10122739839855,62.04920605416079,82.62021353455887,75.6513336246563,64.90481976508707,80.93853290927284,100.0,35.465714532524885,53.57517662648531,15.867158671586717,44.46097187754367,54.35994733221273
North Macedonia,2017,33.40356927051862,66.76876198816129,85.57366251755951,31.827427192675856,5.793243713346179,63.97994848186356,77.8918904233891,60.454083907397234,19.731923422807085,20.125,44.318754324329774,68.66732099905119,41.58685563319123,78.0605282170667,70.8125090935511,23.69380315917371,83.62957577005281,100.0,26.2657555909217,53.56548724618259,15.867158671586717,46.6365950419349,48.65631942955048
North Macedonia,2018,31.99711416248202,67.98176654314419,86.68100587118386,42.73088067829479,5.547079219824646,67.0806096005278,79.3853800327878,60.454083907397234,32.173158292189484,22.5,60.093909328460974,75.3280901158075,21.12435285262866,66.76968772577666,73.11827953248259,59.7205346294046,92.49550225445708,100.0,19.75561097145029,53.56548724618259,15.867158671586717,44.20934343702249,50.61553232195853
North Macedonia,2019,45.3474985935449,69.08176204004602,83.48607330489504,32.62760308028818,5.470435447248107,65.33449978308128,76.53595646506713,60.454083907397234,19.47372763896041,17.625,46.06192104361612,74.13080189950901,41.57161967388952,72.45323914265072,71.83138088279681,47.99513973268526,99.99050339160976,100.0,26.26017246669018,53.56548724618259,17.527675276752767,42.99146731375852,50.09964070692381
North Macedonia,2020,44.72240743441752,62.13622818987987,86.05580969337085,44.45863822398611,4.763999114181637,66.96229904210469,78.97569960971805,60.454083907397234,25.91880411066071,21.375,55.30910141267038,71.91922068312768,47.44660558062717,69.6556153166894,73.48530215559235,62.191170514378285,99.99525145843714,100.0,28.539074988342094,53.56548724618259,14.575645756457565,42.695649690544506,52.407504910955794
