Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day),Score
Moldova,2019,95.4391891891892,100.0,23.628969859486038,45.28166520338043,40.2215155264463,1.9083833062919096,45.89114616288529,86.7472851588685,55.03524042442564,49.59342658933241,99.06385824139085,44.64285714285714,32.48667365963428,22.52591894439209,100.0,86.40776699029125,91.93548387096774,100.0,33.84920782247585,16.901408450704224,47.54886932226948,51.93194113481868
Moldova,2020,95.60810810810813,100.0,24.6809051013839,24.224533338659707,39.6772917150889,0.0,48.65768778812257,80.32015015417618,58.51378805676981,50.63402706698509,100.0,41.90476190476191,32.75480026866549,21.17499214577441,100.0,86.40776699029125,91.93548387096774,100.0,33.84920782247585,11.267605633802802,47.54886932226948,50.10555248479008
North Macedonia,2012,49.83108108108108,92.45283018867916,41.94983078077104,2.044272530712972,24.18899635356462,35.65460406407021,36.12266112266113,37.01529944209263,25.88919486221573,26.07756169680428,0.0,27.02380952380953,47.74025359149243,29.15488532830662,61.78298380161755,27.669902912621325,9.67741935483872,22.54582128636646,14.758468093292125,20.4225352112676,17.00574286311833,27.614156327707402
North Macedonia,2013,51.85810810810811,94.33962264150956,41.975228431193045,1.9869596292417155,24.18899635356462,39.21120156673271,38.30448341317907,37.35120826913164,35.54516744015868,28.61082679404072,6.950852557673031,27.619047619047624,45.87244346496651,27.929626138862687,61.78298380161755,36.89320388349512,20.967741935483872,28.718739964365128,15.5525192701015,27.81690140845069,23.58062093720666,30.812560701346914
North Macedonia,2014,53.71621621621621,96.22641509433949,42.009781048627616,1.9259382459105563,24.18899635356462,39.577153721347486,40.94730181686703,40.24528793419709,32.9502782645535,29.80495848970773,9.632230023403553,27.02380952380953,44.43479367045623,26.704366949418784,63.94766401234028,41.74757281553394,24.193548387096783,32.96405839693618,18.250321304557843,29.92957746478872,24.751213129285105,32.24191236083389
North Macedonia,2015,55.23648648648648,98.11320754716984,42.05260266852525,1.861096002481311,23.583697169629065,39.22835557398025,43.64717978848413,37.33067280497863,35.32298908124554,28.164448993517567,15.71715145436309,26.90476190476191,43.73369511545397,25.416273955387997,66.1569799354723,39.80582524271841,20.967741935483872,30.352878000079983,19.68905561058797,28.521126760563376,24.751213129285105,32.21793134094442
North Macedonia,2016,57.93918918918918,100.0,42.10457925543537,1.7920957642394466,24.18899635356462,39.21120156673271,46.47078098165055,37.981629520356186,33.299677050368075,27.248948026839518,22.68137746573052,26.666666666666675,45.50847485059985,24.15959786365065,73.07215508205584,45.14563106796115,20.967741935483872,36.29235912979115,22.35932508423969,27.464788732394368,29.68014800884129,34.03269587592722
North Macedonia,2017,58.95270270270271,100.0,42.165415487841614,1.7188251529467813,19.90005249644409,43.16877398880695,49.60058302449606,37.84097364543184,31.270821698858043,28.16729216422152,27.54597124707456,25.595238095238106,49.69338085530609,22.9029217719133,80.46460507608361,46.6019417475728,22.58064516129033,36.79602555100823,24.35645802967529,28.521126760563376,29.68014800884129,35.377765264189236
North Macedonia,2018,60.81081081081081,96.22641509433949,41.89194776353017,1.5465493138184776,19.27728070991984,48.13700333788381,53.14223085962216,35.47980972353815,32.13257524697181,27.76924826566585,33.0591775325978,24.880952380952383,55.69043644553767,21.646245680175923,88.40512800980159,52.42718446601941,29.032258064516128,44.14318553159384,26.244137052155168,29.577464788732385,36.48223830621095,38.181033902087876
North Macedonia,2019,63.17567567567568,100.0,41.97138925147809,1.5314906299024995,14.20043478893774,47.80535919776423,56.9488384705776,35.3856138682389,27.54313582006202,30.595359945411104,45.74389836175192,25.476190476190485,62.12984345019128,20.389569588438576,83.04661016135395,49.99999999999997,24.193548387096783,46.77144993077939,28.51408134354611,28.873239436619716,39.43850299632869,39.099359736812225
North Macedonia,2020,65.54054054054052,100.0,42.05939506340553,1.5456502879130465,12.251737503548751,32.02867578211544,60.26789749615836,35.375324194726176,27.017177299774687,28.72171045149551,48.5489802741558,25.83333333333333,68.45580372858466,19.13289349670123,85.69237485938868,49.99999999999997,24.193548387096783,46.77144993077939,28.51408134354611,28.873239436619716,39.43850299632869,38.47884857762215
Malta,2012,100.0,100.0,99.84879538353404,90.75947460926083,19.27728070991984,77.42389696159648,61.56896863418602,60.03592974929616,45.07717267807968,28.406118503354943,83.24640588431963,30.357142857142858,63.21258619495255,7.634307257304442,100.0,69.9029126213592,66.12903225806454,93.89347021557242,90.5526252808972,49.99999999999999,81.9479824963623,72.35704418807586
Malta,2013,100.0,100.0,99.79652347510736,89.79987683345095,15.485735689246551,84.57139998141656,65.94956160173551,61.24252580774903,45.78607329237997,34.95962697600362,83.55065195586761,30.95238095238096,63.76441390363358,7.665724159597858,100.0,72.8155339805825,69.35483870967741,100.0,93.88688824325432,49.99999999999999,85.14405674043861,74.43538203387898
Malta,2014,100.0,100.0,99.74454688819716,88.84039143587921,16.76019003917031,86.71565088736247,69.2917834222182,59.69218393886581,44.44000462169498,39.27840327533264,84.82447342026079,28.809523809523814,63.76441390363358,7.697141061891301,100.0,71.84466019417474,69.35483870967741,100.0,95.75189077442596,47.18309859154929,85.14405674043861,74.76421247197798
