Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Cyprus,2015,100.0,100.0,98.9628,76.5904,1.323,81.464,12.4999,13.8632,99.3001,74.14,15.026,2.44,2.9,54.08,2.5,34.0,7.9,0.0,0.2,16.1,0.8
Cyprus,2016,100.0,100.0,99.2223,76.6598,1.357,81.534,12.7307,14.6343,98.5455,73.809,13.006,2.44,2.9,54.04,2.5,32.9,8.2,0.1,0.1,15.7,0.8
Cyprus,2017,100.0,100.0,99.4817,76.7351,1.323,81.543,12.9503,14.4134,99.3067,74.699,11.155,2.34,3.0,53.99,2.5,31.4,8.4,0.1,0.2,15.4,0.7
Cyprus,2018,100.0,100.0,99.7411,76.8161,1.319,81.556,13.1665,11.7929,99.7954,75.952,8.504,2.27,3.0,53.95,2.5,32.7,8.4,0.1,0.3,14.7,0.7
Cyprus,2019,100.0,100.0,99.7652,76.8146,1.33,81.454,13.3826,13.5074,100.4777,76.865,7.155,2.24,3.1,53.91,2.5,31.2,8.5,0.2,0.5,14.3,0.8
Cyprus,2020,100.0,100.0,99.7652,76.8192,1.361,81.23,13.6113,12.9371,100.7352,76.712,7.755,,3.2,53.87,2.5,31.7,8.5,0.0,0.2,13.8,0.7
Czechia,2012,100.0,100.0,97.6356,86.3968,1.45,78.0756,16.5,10.1663,99.3586,71.581,6.979,6.93,3.2,55.83,2.5,26.1,9.6,0.1,1.1,8.6,1.0
Czechia,2013,100.0,100.0,97.7582,86.7232,1.46,78.1756,17.0822,10.62,98.7805,72.848,6.953,6.7,3.1,56.16,2.5,26.5,9.4,0.0,0.8,9.7,1.0
Czechia,2014,100.0,100.0,97.8804,87.0502,1.53,78.8244,17.6055,10.6447,97.6822,73.476,6.108,6.68,3.1,56.51,2.5,25.9,9.7,0.0,1.1,9.7,1.0
Czechia,2015,100.0,100.0,97.8807,87.3775,1.57,78.578,18.0969,10.4989,96.9615,73.95,5.048,6.68,3.2,56.88,2.5,25.9,9.7,0.0,0.7,9.7,0.9
Czechia,2016,100.0,100.0,97.881,87.7058,1.63,79.0268,18.5952,9.9339,96.9098,74.907,3.952,6.69,3.2,57.26,2.5,25.4,10.0,0.0,0.8,9.1,0.9
Czechia,2017,100.0,100.0,97.8813,88.0348,1.69,78.978,19.0859,10.436,97.2325,75.76,2.893,6.67,3.2,57.64,2.5,24.9,10.2,0.0,0.5,9.6,0.9
Czechia,2018,100.0,100.0,97.8817,88.3644,1.71,79.0293,19.5316,11.2675,98.2728,76.431,2.246,6.68,3.1,58.02,2.5,25.0,10.2,0.0,0.4,10.1,0.8
Czechia,2019,100.0,100.0,97.882,88.6949,1.71,79.2293,19.9486,11.8427,99.2833,76.561,2.015,6.66,3.0,58.4,2.5,25.3,10.1,0.0,0.3,9.5,0.8
Czechia,2020,100.0,100.0,97.8825,89.0261,1.74,78.2268,20.294,10.743,99.7845,76.198,2.55,6.6,2.9,58.77,2.5,26.2,9.8,0.0,0.5,8.6,0.8
Germany,2012,100.0,100.0,99.8877,96.5266,1.41,80.539,20.6376,9.5172,104.1405,77.15,5.372,8.22,4.0,54.76,2.5,31.1,8.3,0.0,0.2,,0.6
Germany,2013,100.0,100.0,99.8907,96.5822,1.42,80.4902,20.813,9.7097,103.6387,77.605,5.316,8.17,4.0,54.69,2.5,31.5,8.3,0.0,0.2,,0.6
Germany,2014,100.0,100.0,99.8938,96.6379,1.47,81.0902,20.9587,9.7481,102.6218,77.752,4.979,8.14,4.0,54.6,2.5,30.8,8.2,0.0,0.5,,0.6
Germany,2015,100.0,100.0,99.8968,96.6934,1.5,80.6415,21.0534,9.6381,102.7025,77.575,4.612,8.09,3.9,54.51,2.5,31.7,8.1,0.0,0.2,,0.6
Germany,2016,100.0,100.0,99.8998,96.75,1.6,80.9902,21.135,9.4778,101.4061,77.781,4.104,8.06,3.9,54.43,2.5,31.4,8.0,0.0,0.2,,0.6
Germany,2017,100.0,100.0,99.9029,96.8076,1.57,80.9927,21.2936,9.4807,101.7387,78.178,3.781,8.01,3.8,54.34,2.5,31.3,8.0,0.2,0.5,,0.6
Germany,2018,100.0,100.0,99.9061,96.8661,1.57,80.8927,21.4498,9.6382,102.6454,78.511,3.384,7.98,3.8,54.24,2.5,31.9,8.0,0.0,0.5,,0.6
Germany,2019,100.0,100.0,99.9093,96.8706,1.54,81.2927,21.6284,9.7264,102.5475,79.208,3.163,7.91,3.7,54.13,2.5,31.8,7.9,0.2,0.5,16.1,0.6
Germany,2020,100.0,100.0,99.9127,96.876,1.53,81.0415,21.8447,9.2984,101.9967,78.535,3.881,7.8,3.7,54.02,2.5,32.4,7.8,0.2,0.5,16.0,0.6
Denmark,2012,100.0,100.0,97.5937,96.2829,1.73,80.0512,17.6035,12.0302,101.5107,77.17,7.798,,4.1,44.71,2.5,27.8,9.3,0.0,0.9,,0.6
Denmark,2013,100.0,100.0,97.9906,96.6379,1.67,80.3,18.0533,12.3308,101.2993,76.504,7.384,3.06,4.1,44.72,2.5,28.5,9.1,0.3,0.8,,0.8
Denmark,2014,100.0,100.0,98.3875,96.9906,1.69,80.7,18.4156,12.9066,101.1769,76.522,6.925,2.69,4.1,44.74,2.5,28.4,9.1,0.2,0.9,,0.6
Denmark,2015,100.0,100.0,98.7844,97.3409,1.71,80.7024,18.7039,12.8566,100.8821,76.895,6.278,2.53,4.1,44.76,2.5,28.2,9.4,0.2,0.5,,0.7
Denmark,2016,100.0,100.0,99.1813,97.6888,1.79,80.8537,18.9426,12.9486,101.0415,77.414,5.989,2.61,4.0,44.78,2.5,28.2,9.2,0.3,0.5,,0.7
Denmark,2017,100.0,100.0,99.5782,98.0343,1.75,81.1024,19.1823,12.7363,100.778,77.866,5.833,2.62,4.0,44.81,2.5,28.7,9.1,0.1,0.3,,0.6
Denmark,2018,100.0,100.0,99.9188,98.3775,1.73,80.9537,19.4404,12.6484,100.749,78.197,5.131,2.62,3.9,44.83,2.5,28.2,9.3,0.2,0.3,,0.7
Denmark,2019,100.0,100.0,99.9188,98.5553,1.7,81.4512,19.7144,12.7429,100.551,79.043,5.018,2.6,3.8,44.85,2.5,27.7,9.5,0.3,0.5,12.1,0.7
Denmark,2020,100.0,100.0,99.9188,98.6405,1.68,81.6024,20.0008,11.6999,100.4596,78.921,5.637,2.59,3.7,44.87,2.5,27.5,9.4,0.2,0.5,12.3,0.6
