Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Bulgaria,2013,21.4901,44.4509,6.2082,-7.1458,9.3833,3.1099,57.3485,8.0096,44.2588,39.058,5.12,2353.4577,70.14,17.5078,18.2,706.77,0.0,4794.75,19.8123,40.4169,65.9544,-0.939,46.0114,4.5154,102.69,0.5049,0.0,26.0381,34.9539,35.0,3692.7615
Bulgaria,2014,21.9922,47.3148,6.689,-8.4124,8.4114,3.6162,59.979,8.4793,44.8621,35.7227,5.32,2500.0007,71.17,16.7401,17.1,558.35,0.0,4796.53,20.0625,39.7369,65.1582,2.2212,45.8456,4.5587,100.74,0.3158,0.0,25.6,35.1308,31.5,6688.4507
Bulgaria,2015,20.7937,49.8542,7.1381,-7.9623,10.3652,3.3314,63.8699,9.1449,45.7513,37.1357,5.36,2637.6677,72.43,18.794,17.9,738.4,0.0,4857.24,19.5626,41.6099,64.3352,0.4252,46.1671,4.062,97.47,0.2323,0.0,26.8067,35.3077,32.8,7293.0669
Bulgaria,2016,19.9792,47.1224,6.8351,-9.7621,10.1524,3.7418,61.3643,8.9009,42.766,39.3334,5.07,2606.7768,69.4,17.0803,17.7,774.68,0.0,4952.14,18.9372,42.0504,63.5053,-0.2804,46.2509,4.0549,101.79,0.1872,0.0,27.0905,35.3814,28.3,7394.7091
Bulgaria,2017,20.0338,49.2795,7.2433,-9.6905,10.4135,3.6899,63.7208,9.3659,45.852,40.2625,5.11,2732.2927,70.82,14.8995,17.1,778.88,0.0,5169.81,19.1855,41.8213,62.6701,0.3132,46.3294,4.0432,106.22,0.3094,0.0,26.9429,35.5011,28.3,7687.6226
Bulgaria,2018,19.716,46.2331,6.8894,-9.8123,9.7802,3.6612,60.0509,8.9484,39.8382,37.3692,4.97,2764.4709,67.35,20.6175,19.6,676.27,0.0,4798.08,19.4381,40.099,61.8165,-0.0412,46.3338,3.3967,105.22,0.2839,0.0,25.8333,35.6209,28.3,9753.9215
Bulgaria,2019,17.538,44.5731,6.7364,-9.6208,9.4959,3.7438,58.4266,8.8301,38.9014,39.3267,4.72,2771.1025,65.63,17.9281,19.3,735.32,0.0,4477.51,20.5615,40.0769,60.9499,-1.6319,46.3983,3.1962,107.09,0.2463,0.0,25.819,35.7406,32.8,4125.0189
Bulgaria,2020,17.1474,39.4909,6.0285,-9.6587,9.6265,3.7975,53.5659,8.1771,33.2041,38.9226,4.68,2664.5515,62.09,19.5452,21.1,754.83,0.0,4722.99,20.937,37.5194,60.3417,-1.0222,46.4904,3.4329,90.38,0.2954,0.0,24.1714,35.8604,33.1,4795.2148
Bosnia and Herzegovina,2012,35.5047,23.3084,6.3509,-7.5463,4.6795,0.896,29.5128,8.0414,69.5001,33.2945,6.85,1821.2122,91.95,29.9404,15.3,701.47,0.0,5643.58,16.8131,2.9064,71.6819,-1.2991,42.1094,6.1377,91.82,0.2662,0.0,1.233,41.5195,,2433.6472
Bosnia and Herzegovina,2013,33.7419,23.2108,6.4281,-6.141,4.6764,0.9517,29.3288,8.1224,58.0769,29.7224,6.46,1787.3925,92.5,41.4781,19.5,420.56,0.0,5348.83,16.0633,2.8938,70.5246,0.6689,42.207,6.8414,104.99,0.204,0.0001,1.2276,41.7454,1.6,2573.8976
