Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Croatia,2014,19.8289,-6.1595,5.9371,17.4709,45.0191,3.29,1909.8358,70.8748,74.1793,33.6,494.11,3891.98,1.2893,1.8037,2.9388,94.25,0.6931,0.2092,1.5382,34.3364,23.7,4559.4857
Croatia,2015,20.1719,-5.8747,6.1607,20.2578,49.6289,3.35,2018.5426,28.9492,67.306,33.1,903.8,4461.1,1.3803,-0.7807,2.9638,96.59,0.5687,0.2087,1.6468,34.3435,23.7,2669.0481
Croatia,2016,18.1778,-5.8747,6.3583,20.2496,49.3077,3.26,2057.1887,0.0,66.8353,31.8,692.94,4523.36,1.4153,0.166,3.0598,109.16,0.4194,0.191,1.6886,34.3814,23.5,5372.9631
Croatia,2017,18.7614,-5.1676,6.6284,11.4078,54.2576,3.26,2159.9695,0.0,61.0532,29.8,866.58,4614.77,1.5028,-1.1721,2.8902,93.43,0.5217,0.2254,1.793,34.5152,23.6,5846.6453
Croatia,2018,20.0014,-5.6561,6.446,10.6522,54.123,3.08,2127.6388,0.0,72.374,32.8,858.62,4225.78,1.4867,-0.7839,2.9509,102.04,0.5981,0.1982,1.7738,34.5599,23.6,8285.3402
Croatia,2019,15.9149,-5.8919,6.5861,12.8448,57.7963,3.01,2173.1984,0.0,66.2484,31.6,847.82,4153.09,1.494,0.2339,2.8569,99.35,0.4629,0.18,1.7825,34.6046,23.6,5977.6268
Croatia,2020,16.1209,-5.8773,6.4981,9.0773,54.1708,3.16,2104.8453,0.0,64.9877,32.4,691.57,4244.77,1.4629,-0.6525,3.1286,108.55,0.3057,0.1746,1.7454,34.6517,23.9,6051.7226
Czechia,2012,19.2883,-9.2699,13.155,53.2693,25.4296,5.09,4109.5446,76.159,10.0615,12.8,271.87,6649.05,27.9866,-0.8678,2.2316,85.84,0.1838,0.0155,13.9954,34.4657,,14006.6854
Czechia,2013,18.9336,-8.5876,12.7234,50.2928,27.7106,5.09,4110.9917,74.9101,11.7516,13.9,254.49,6856.17,25.0958,0.2334,2.3476,93.01,0.1094,0.0187,12.5498,34.4987,21.9,7658.9912
Czechia,2014,18.3617,-8.4771,12.5327,50.5305,30.2869,4.83,3984.1541,73.974,11.867,14.8,194.17,5812.35,25.0912,-0.1962,2.3927,101.46,0.0966,0.0206,12.5475,34.5272,21.8,13942.7428
Czechia,2015,17.8128,-8.5334,12.6612,52.2541,32.1173,4.59,3982.1884,75.3495,12.7512,14.8,432.52,6083.82,24.3826,-1.9117,2.2589,97.07,0.0818,0.0286,12.1932,34.5602,21.7,8047.2074
Czechia,2016,16.9929,-7.6496,12.7466,53.5848,32.8779,4.43,3927.7252,0.0,12.7075,14.8,211.42,6394.56,24.8601,-0.1921,2.1481,101.47,0.0898,0.0422,12.4319,34.5791,22.1,22813.3622
Czechia,2017,16.9433,-6.2332,12.7877,50.456,37.288,4.39,4089.5134,0.0,12.4026,14.5,261.77,6485.07,24.7871,-0.581,2.1055,94.94,0.1239,0.0681,12.3954,34.6025,22.2,26518.1156
Czechia,2018,17.3467,-1.2856,12.5927,49.4906,37.0867,4.26,4081.4187,0.0,11.9061,14.7,391.78,5898.96,24.1788,-2.1456,1.9686,92.9,0.1767,0.1182,12.0913,34.626,22.2,39194.8738
Czechia,2019,14.2337,4.7443,12.0123,45.3254,41.0173,4.07,4002.2461,0.0,12.9178,15.9,356.25,5914.11,22.9015,-1.5681,1.8915,92.92,0.2238,0.1841,11.4525,34.6514,22.2,73288.6802
Czechia,2020,14.1111,7.4412,11.0534,40.0937,38.785,4.06,3764.4716,0.0,14.3377,17.0,193.88,6046.17,20.7725,-0.8997,1.944,96.91,0.2462,0.2224,10.3878,34.678,22.2,100267.3712
Denmark,2012,10.8115,0.548,9.4714,34.329,-3.473,2.5,3072.0872,71.312,48.3304,26.9,27.3,6535.71,19.6998,0.3584,1.6176,98.74,1.2652,0.0063,12.1417,15.0442,,4451.9524
Denmark,2013,10.3963,0.1729,9.7159,41.1375,13.3346,2.49,3075.5514,71.3967,45.9609,27.0,45.14,6487.93,27.285,-0.9572,1.2566,97.3,0.9549,0.0089,16.8167,15.2351,17.6,2015.3666
Denmark,2014,10.8105,0.4805,8.928,34.3773,13.4604,2.31,2881.0525,67.5053,55.8777,30.2,123.46,5478.51,26.7496,-0.1013,1.3534,99.93,0.7977,0.0106,16.4867,15.426,20.5,5320.7705
Denmark,2015,10.2267,-0.4672,8.4875,24.5646,14.4191,2.25,2847.9879,64.2119,65.4356,32.5,27.48,5936.09,21.9524,0.8855,0.9083,101.24,0.4393,0.011,13.53,15.617,20.5,2583.2304
Denmark,2016,9.2343,0.4141,8.7262,29.0294,14.9737,2.23,2891.0269,0.0,60.2201,32.0,63.82,6032.02,23.9858,-0.8799,0.9288,98.83,0.2875,0.0083,14.7832,15.6165,17.9,4656.3405
Denmark,2017,10.0946,0.2731,8.2746,20.0019,12.4713,2.18,2896.5707,0.0,70.266,35.0,4.22,6017.76,24.2239,2.0049,1.2599,102.11,0.3958,0.0072,14.93,15.64,20.7,4360.354
Denmark,2018,10.3539,2.0733,8.2277,21.6339,25.1646,2.13,2870.4163,0.0,68.3574,34.6,164.33,5800.29,29.9031,-2.1774,0.997,92.87,0.477,0.008,18.4303,15.664,17.9,3161.6253
Denmark,2019,9.612,1.0592,7.5726,11.2176,43.7676,2.03,2757.2499,0.0,78.1718,37.2,83.41,5738.86,25.5704,0.4938,1.2412,100.59,0.3518,0.0063,15.7599,15.6875,17.7,9180.3336
Denmark,2020,9.0698,0.8057,7.1808,10.6551,48.3343,1.99,2637.043,0.0,81.6168,39.5,90.86,5513.46,25.6159,-1.1133,1.3375,102.64,0.1136,0.0053,15.788,15.711,17.9,3193.5935
Estonia,2012,7.9901,-1.9973,19.5457,86.1202,22.4673,5.74,3984.0634,20.4941,12.3417,25.0,57.72,8605.65,17.6515,2.038,3.2843,89.2,0.8242,0.0,12.8324,55.9098,,17685.1527
Estonia,2013,8.0812,-0.901,21.5502,88.693,15.8496,6.27,4435.5669,17.9265,9.1973,24.5,117.84,7774.46,18.9177,-0.7051,3.0474,92.45,0.7317,0.0,13.753,54.9118,19.4,17088.7434
Estonia,2014,8.7077,-0.2133,21.02,87.3534,12.4657,5.79,4226.2012,15.7466,11.1825,25.3,218.88,7734.58,18.6147,-0.4325,3.115,97.32,0.7859,0.0,13.5327,55.3028,19.4,23576.6088
Estonia,2015,7.185,0.361,19.6978,82.7651,12.0087,4.97,3695.1192,14.7459,15.4272,28.2,39.6,7193.32,17.4821,-0.9746,2.8064,111.23,0.4655,0.0,12.7092,55.6938,19.4,25420.2907
Estonia,2016,6.8784,1.2973,19.2272,83.7209,8.5862,5.98,4579.4211,0.0,13.047,27.2,70.36,7883.36,18.9545,0.6924,2.0716,91.45,0.3148,0.0,13.7797,55.6993,19.5,36334.8572
Estonia,2017,6.1549,1.2094,20.3298,83.8526,4.8111,5.49,4444.8467,0.0,14.1225,27.5,14.41,7869.96,19.3171,1.727,2.3389,99.56,0.5195,0.0,14.0433,57.0386,19.5,38856.6937
Estonia,2018,7.7967,2.9541,21.5924,81.988,1.4647,5.21,4282.7151,0.0,16.0854,28.6,243.6,7617.02,17.4084,-1.7811,2.0494,84.71,0.7988,0.0,12.6557,57.0386,19.5,40037.8772
Estonia,2019,6.8448,2.7782,14.9788,70.151,5.1177,4.22,3661.4993,0.0,28.1355,31.3,103.04,7275.11,10.8923,0.2045,2.2656,106.79,0.7336,0.0,7.9186,57.0386,19.7,45917.2458
Estonia,2020,6.1457,0.7951,12.0466,49.1115,11.4816,3.92,3368.2373,0.0,48.8761,40.4,85.51,6717.25,9.2311,-0.1461,1.9318,107.74,0.3748,0.0,6.7109,57.0386,20.1,36805.569
Finland,2012,6.2312,-25.3717,12.6787,16.0074,47.4849,5.71,6265.7723,43.102,40.5621,38.7,14.61,10723.33,9.4968,2.1152,2.1884,94.73,0.1695,0.0,3.7428,73.4108,,160310.4093
Finland,2013,5.8529,-18.5726,12.7899,20.1678,50.0732,5.67,6138.3141,42.4733,35.968,38.5,56.36,9637.64,8.4861,-0.5947,2.2118,99.5,0.1097,0.0,3.3445,73.5207,13.9,148660.9706
Finland,2014,6.1186,-19.3948,12.0045,17.3554,50.2608,5.81,6246.0415,41.9618,38.5804,41.2,143.39,9613.09,7.4755,-0.4294,2.2176,101.04,0.089,0.0,2.9462,73.6306,14.2,186629.0141
Finland,2015,5.625,-14.1892,11.2767,12.8092,48.5425,5.5,5921.5968,40.2291,44.5012,43.2,6.19,9298.22,6.4648,1.2093,2.0605,99.53,0.0503,0.0,2.5479,73.7356,14.2,172639.5803
Finland,2016,5.2781,-9.5057,11.7568,15.2843,46.6828,5.54,6120.633,0.0,44.2315,42.4,22.77,9827.94,5.4541,1.1139,2.0898,99.43,0.0276,0.0,2.1495,73.7356,14.3,240428.4632
Finland,2017,5.1267,-5.9387,11.1737,13.6457,45.2672,5.34,6070.1575,0.0,46.614,44.4,1.71,10127.52,5.4541,1.2527,2.068,98.01,0.0795,0.0,2.1495,73.7332,14.1,336198.5406
Finland,2018,5.497,4.3632,11.4187,14.3304,46.7658,5.37,6165.444,0.0,45.741,44.2,168.92,9799.61,6.6398,-1.5896,2.1142,92.96,0.0884,0.0,2.6168,73.7332,14.2,269954.6259
Finland,2019,5.3787,0.5307,10.7952,11.6038,44.4037,5.19,6024.6537,0.0,46.4434,45.4,59.43,10029.18,7.1141,1.0067,2.1898,102.16,0.0424,0.0,2.8037,73.7308,13.1,289910.434
Finland,2020,4.8952,-0.9844,9.8284,7.4783,43.8669,5.07,5739.2545,0.0,51.8681,47.3,47.6,9001.12,7.1141,0.742,2.2404,98.51,0.0242,0.0,2.8037,73.7284,13.0,254472.6003
France,2012,12.5586,-46.3395,7.5445,4.2105,49.9192,3.83,3929.206,47.8592,15.7357,12.3,323.99,4928.8,24.5671,-0.168,1.5259,97.79,0.0118,0.0,14.0315,30.7743,,67302.6687
France,2013,12.4583,-52.1844,7.4245,4.5213,49.7187,3.82,3925.8655,47.4024,17.9491,13.4,343.07,5213.27,23.774,0.5481,1.3614,96.25,0.0093,0.0,13.5785,30.929,23.5,30351.842
